Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Func_CreateClass,Chrome 73.0.3683.103,,2019-04-10 13:49:03,2019-04-10 13:51:45,2m - 42.233s,PASSED
,,,,,,
Test Cases/Func_CreateClass/Name_Dupicate,Chrome 73.0.3683.103,,2019-04-10 13:49:06,2019-04-10 13:49:59,52.698s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-10 13:49:11,2019-04-10 13:49:26,15.104s,PASSED
"navigateToUrl(""https://hoclieu.sachmem.vn/folder/0"")",Chrome 73.0.3683.103,,2019-04-10 13:49:26,2019-04-10 13:49:33,6.299s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 13:49:33,2019-04-10 13:49:34,1.062s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_ng nhp""))",Chrome 73.0.3683.103,,2019-04-10 13:49:34,2019-04-10 13:49:42,8.017s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_ng nhp  Sch Mm/input_a ch email_useremail""), ""hwngvux98@gmail.com"")",Chrome 73.0.3683.103,,2019-04-10 13:49:42,2019-04-10 13:49:43,0.988s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_ng nhp  Sch Mm/input_Mt khu_userpassword""), ""EjEDdN6o7pTQoul/MO4YbQ=="")",Chrome 73.0.3683.103,,2019-04-10 13:49:43,2019-04-10 13:49:44,1.035s,PASSED
"click(findTestObject(""Object Repository/Login/Page_ng nhp  Sch Mm/input_Qun mt khu_commit""))",Chrome 73.0.3683.103,,2019-04-10 13:49:44,2019-04-10 13:49:48,3.941s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_Lp hc ca ti""))",Chrome 73.0.3683.103,,2019-04-10 13:49:48,2019-04-10 13:49:50,2.759s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-10 13:49:50,2019-04-10 13:49:53,3.005s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/a_Thm""))",Chrome 73.0.3683.103,,2019-04-10 13:49:53,2019-04-10 13:49:54,0.400s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 13:49:54,2019-04-10 13:49:55,1.003s,PASSED
"setText(findTestObject(""Login/Page_Hc liu - Sch Mm/input_Tn_form-control ng-pristine ng-invalid ng-touched""), ""alo"")",Chrome 73.0.3683.103,,2019-04-10 13:49:55,2019-04-10 13:49:55,0.299s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/span_Chn khi lp_ng-arrow-wrapper""))",Chrome 73.0.3683.103,,2019-04-10 13:49:55,2019-04-10 13:49:55,0.176s,PASSED
delay(1),Chrome 73.0.3683.103,,2019-04-10 13:49:55,2019-04-10 13:49:56,1.005s,PASSED
"click(findTestObject(""Login/Page_Hc liu - Sch Mm/Lop2""))",Chrome 73.0.3683.103,,2019-04-10 13:49:56,2019-04-10 13:49:57,0.268s,PASSED
